Timestamp,Humidity,Temperature,rain
02-08-2022-07-05-16,87.2,33.2,9.64
03-08-2022-07-05-16,86.2,34.4,10.03
04-08-2022-07-05-16,84.1,33.5,0
05-08-2022-07-05-16,76.8,33.8,0.39
06-08-2022-07-05-16,77.2,34.8,0.77
07-08-2022-07-05-16,78.1,34.5,1.54
08-08-2022-07-05-16,86.8,30,5.78
09-08-2022-07-05-16,87.6,31.9,12.34
10-08-2022-07-05-16,82.5,33.1,13.88
11-08-2022-07-05-16,83.3,33.3,34.32
12-08-2022-07-05-16,86.6,31.9,40.1
13-08-2022-07-05-16,83.5,33.7,0.77
14-08-2022-07-05-16,82,33.4,1.16
15-08-2022-07-05-16,87.1,36,4.63
16-08-2022-07-05-16,86.4,34.1,8.1
17-08-2022-07-05-16,82.8,34.5,0.77
18-08-2022-07-05-16,81.6,34.2,0
19-08-2022-07-05-16,82.1,34.8,5.4
20-08-2022-07-05-16,82.1,34.9,1.54
21-08-2022-07-05-16,80.1,34.2,0.39
22-08-2022-07-05-16,76,35.6,18.12
23-08-2022-07-05-16,79.2,33.6,1.16
24-08-2022-07-05-16,83.8,35.4,1.54
25-08-2022-07-05-16,89.2,34.6,38.18
26-08-2022-07-05-16,88.6,32.5,25.07
27-08-2022-07-05-16,88.5,33.1,1.16
28-08-2022-07-05-16,83.3,33.4,0.39
29-08-2022-07-05-16,6508.8,3276.7,18.12
30-08-2022-07-05-16,5222.4,1642.8,2.7
31-08-2022-07-05-16,2867.2,1619.7,0.77
01-09-2022-07-05-16,3276.7,3276.7,0
02-09-2022-07-05-16,2867.2,1632.5,1.54
03-09-2022-07-05-16,2867.2,1606.9,0.39
04-09-2022-07-05-16,2867.2,1632.5,1.54
05-09-2022-07-05-16,5222.4,1667.2,10.03
06-09-2022-07-05-16,6336,1689.7,32.39
07-09-2022-07-05-16,2867.2,1632.5,1.54
08-09-2022-07-05-16,4915.2,1647.8,3.47
09-09-2022-07-05-16,6366.7,1692.5,39.33
10-09-2022-07-05-16,5954.6,1680.6,20.43
11-09-2022-07-05-16,6343.7,1686.2,27.76
12-09-2022-07-05-16,6359,1681.5,21.98
13-09-2022-07-05-16,2621.4,1627.6,1.16
14-09-2022-07-05-16,2621.4,1606.9,0.39
15-09-2022-07-05-16,2621.4,1627.6,1.16
16-09-2022-07-05-16,6547.6,3276.7,1.54
17-09-2022-07-05-16,6547.6,3276.7,0
18-09-2022-07-05-16,6508.8,1697.1,50.9
19-09-2022-07-05-16,4915.2,1637.4,1.93
20-09-2022-07-05-16,4915.2,1637.4,1.93
21-09-2022-07-05-16,2867.2,1627.6,1.16
22-09-2022-07-05-16,6208,1673.4,13.88
23-09-2022-07-05-16,2867.2,1606.9,0.39
24-09-2022-07-05-16,5222.4,1668.4,10.8
25-09-2022-07-05-16,2867.2,1627.6,1.16
26-09-2022-07-05-16,6508.8,1691.1,35.86
27-09-2022-07-05-16,6502.4,1693.9,42.8
28-09-2022-07-05-16,0,0,0
29-09-2022-07-05-16,2867.2,1627.6,1.16
30-09-2022-07-05-16,5222.4,1656.9,5.78
01-10-2022-07-05-16,0,0,0
02-10-2022-07-05-16,5222.4,1659.3,6.56
03-10-2022-07-05-16,6508.8,1681.5,21.98
04-10-2022-07-05-16,6208,1681.5,21.98
05-10-2022-07-05-16,6336,1682.8,23.52
06-10-2022-07-05-16,6508.8,1700,58.23
07-10-2022-07-05-16,4915.2,1647.8,3.47
08-10-2022-07-05-16,2866.8,1606.9,0.39
09-10-2022-07-05-16,5222.4,1658.1,6.17
10-10-2022-07-05-16,6508.8,1693.7,42.42
11-10-2022-07-05-16,6410.2,3276.7,23.52
12-10-2022-07-05-16,6547.6,6506.3,0.77
13-10-2022-07-05-16,0,0,0
14-10-2022-07-05-16,2866.8,1606.9,0.39
15-10-2022-07-05-16,2866.9,1606.9,0.39
16-10-2022-07-05-16,2867.2,1627.6,1.16
17-10-2022-07-05-16,2867.2,1627.6,1.16
18-10-2022-07-05-16,0,0,0
19-10-2022-07-05-16,2867.2,1632.5,1.54
20-10-2022-07-05-16,2867.2,1606.9,0.39
21-10-2022-07-05-16,6508.8,1678.4,18.12
22-10-2022-07-05-16,2867.2,1606.9,0.39
23-10-2022-07-05-16,6334.1,1680.9,21.21
24-10-2022-07-05-16,5222.4,1661.8,7.33
,,,15
,,,29
,,,43
,,,44
